rule_id,scheme_id,parent_product_id,field,operator,value,value_type,rule_type,priority,condition_group,error_message,source_document,source_page,source_section,effective_from,effective_to,active
RULE-083-01,SIH26092-083,,annual_income,<=,450000,FLOAT,ELIGIBILITY,HIGH,BASE,"Parental income must not exceed ₹4,50,000 for CSIS interest subsidy",Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-084-01,SIH26092-084,,age,>=,18,INT,ELIGIBILITY,HIGH,BASE,Minimum age 18 years required for Coir Vikas Yojana,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-085-01,SIH26092-085,,business_stage,=,EXISTING_ONLY,STRING,ELIGIBILITY,HIGH,BASE,MSME LEAN is available exclusively for operational manufacturing MSMEs,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-086-01,SIH26092-086,,enterprise_size_requirement,IN,"MICRO,SMALL",LIST,ELIGIBILITY,HIGH,BASE,MSME TEAM is available for Micro and Small Enterprises with Udyam registration,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-087-01,SIH26092-087,,gender,=,FEMALE,STRING,ELIGIBILITY,HIGH,BASE,PMMVY is exclusively for pregnant women and lactating mothers,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-087-02,SIH26092-087,,annual_income,<=,800000,FLOAT,ELIGIBILITY,HIGH,BASE,"Annual family income must not exceed ₹8,00,000 for PMMVY",Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-088-01,SIH26092-088,,gender,=,FEMALE,STRING,ELIGIBILITY,HIGH,BASE,Sukanya Samriddhi Yojana account is exclusively for the girl child,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-088-02,SIH26092-088,,age,<=,10,INT,ELIGIBILITY,HIGH,BASE,SSY account must be opened before the girl child turns 10 years of age,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-089-01,SIH26092-089,,gender,=,FEMALE,STRING,ELIGIBILITY,HIGH,BASE,Lakhpati Didi initiative is exclusively for women Self Help Group (SHG) members,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-089-02,SIH26092-089,,age,>=,18,INT,ELIGIBILITY,HIGH,BASE,Minimum age 18 years required for SHG micro-enterprise credit,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
RULE-090-01,SIH26092-090,,state_restriction,=,ALL_INDIA,STRING,ELIGIBILITY,HIGH,BASE,PM-JAY covers eligible citizens across all participating States & UTs,Official Scheme Guidelines,1,Eligibility Criteria,2024-01-01,,TRUE
